rank	taxid	name	clade_reads	direct_reads	percent
S1	1003195	Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488	3	3	0.00
O	85014	Glycomycetales	383	0	0.17
F	85034	Glycomycetaceae	383	0	0.17
G	283810	Stackebrandtia	383	0	0.17
S	283811	Stackebrandtia nassauensis	383	0	0.17
S1	446470	Stackebrandtia nassauensis DSM 44728	383	383	0.17
O	85012	Streptosporangiales	279	0	0.12
F	2004	Streptosporangiaceae	277	1	0.12
G	83681	Nonomuraea	276	0	0.12
S	93944	Nonomuraea gerenzanensis	275	275	0.12
S	1955412	[Actinomadura] parvosata	1	0	0.00
S1	1909395	[Actinomadura] parvosata subsp. kistnae	1	1	0.00
F	2012	Thermomonosporaceae	1	0	0.00
G	1988	Actinomadura	1	0	0.00
S	46165	Actinomadura verrucosospora	1	1	0.00
F	83676	Nocardiopsaceae	1	0	0.00
G	104204	Streptomonospora	1	0	0.00
S	2498135	Streptomonospora litoralis	1	1	0.00
O	622452	Kineosporiales	220	0	0.10
F	83778	Kineosporiaceae	220	0	0.10
G	33981	Kineococcus	220	0	0.10
S	131568	Kineococcus radiotolerans	220	0	0.10
S1	266940	Kineococcus radiotolerans SRS30216 = ATCC BAA-149	220	220	0.10
O	85013	Frankiales	136	0	0.06
F	74712	Frankiaceae	136	0	0.06
G	1854	Frankia	136	0	0.06
S	1859	Frankia alni	136	0	0.06
S1	326424	Frankia alni ACN14a	136	136	0.06
O	1217098	Jiangellales	108	0	0.05
F	1217100	Jiangellaceae	108	0	0.05
G	281472	Jiangella	108	0	0.05
S	419479	Jiangella alkaliphila	107	107	0.05
G1	2624397	unclassified Jiangella	1	0	0.00
S	1798224	Jiangella sp. DSM 45060	1	1	0.00
O	85008	Micromonosporales	88	0	0.04
F	28056	Micromonosporaceae	88	4	0.04
G	1865	Actinoplanes	43	0	0.02
S	1866	Actinoplanes missouriensis	41	0	0.02
S1	512565	Actinoplanes missouriensis 431	41	41	0.02
S	122358	Actinoplanes ianthinogenes	1	1	0.00
G1	2626549	unclassified Actinoplanes	1	1	0.00
G	1873	Micromonospora	20	0	0.01
G1	2617518	unclassified Micromonospora	19	8	0.01
S	3061627	Micromonospora sp. NBRC 110009	7	7	0.00
S	2975976	Micromonospora sp. NBC_00421	1	1	0.00
S	2975988	Micromonospora sp. NBC_01813	1	1	0.00
S	2975986	Micromonospora sp. NBC_01740	1	1	0.00
S	2975987	Micromonospora sp. NBC_01796	1	1	0.00
S	47857	Micromonospora echinaurantiaca	1	1	0.00
G	35753	Dactylosporangium	12	5	0.01
S	53359	Dactylosporangium fulvum	4	4	0.00
G1	2621675	unclassified Dactylosporangium	3	0	0.00
S	2975959	Dactylosporangium sp. NBC_01737	3	3	0.00
G	907364	Phytohabitans	7	0	0.00
S	624315	Phytohabitans suffuscus	7	7	0.00
G	265431	Solwaraspora	1	0	0.00
G1	2627926	unclassified Solwaraspora	1	0	0.00
S	3016090	Solwaraspora sp. WMMD937	1	1	0.00
G	338583	Polymorphospora	1	0	0.00
S	338584	Polymorphospora rubra	1	1	0.00
O	414714	Catenulisporales	20	0	0.01
F	414877	Catenulisporaceae	20	0	0.01
G	414878	Catenulispora	20	0	0.01
S	304895	Catenulispora acidiphila	20	0	0.01
S1	479433	Catenulispora acidiphila DSM 44928	20	20	0.01
C	84998	Coriobacteriia	950	0	0.41
O	1643822	Eggerthellales	910	0	0.40
F	1643826	Eggerthellaceae	910	0	0.40
G	84108	Slackia	587	0	0.26
S	84110	Slackia heliotrinireducens	587	572	0.26
S1	471855	Slackia heliotrinireducens DSM 20476	15	15	0.01
G	79603	Denitrobacterium	294	0	0.13
S	79604	Denitrobacterium detoxificans	294	294	0.13
G	2815775	Berryella	25	0	0.01
S	2734634	Berryella wangjianweii	25	25	0.01
G	644652	Gordonibacter	4	0	0.00
S	1335613	Gordonibacter urolithinfaciens	4	4	0.00
O	84999	Coriobacteriales	40	0	0.02
F	1643824	Atopobiaceae	40	0	0.02
G	2767327	Fannyhessea	33	0	0.01
S	82135	Fannyhessea vaginae	33	33	0.01
G	2082587	Parolsenella	7	0	0.00
S	1871022	Parolsenella massiliensis	7	7	0.00
C	1497346	Thermoleophilia	252	0	0.11
O	588673	Solirubrobacterales	252	0	0.11
F	2758916	Paraconexibacteraceae	250	0	0.11
G	2758920	Paraconexibacter	250	0	0.11
S	2949664	Paraconexibacter antarcticus	250	250	0.11
F	2600303	Baekduiaceae	2	0	0.00
G	2600304	Baekduia	2	0	0.00
S	496014	Baekduia soli	2	2	0.00
C	84995	Rubrobacteria	2	0	0.00
O	84996	Rubrobacterales	2	0	0.00
F	84997	Rubrobacteraceae	2	0	0.00
G	42255	Rubrobacter	2	0	0.00
S	49319	Rubrobacter xylanophilus	2	0	0.00
S1	266117	Rubrobacter xylanophilus DSM 9941	2	2	0.00
P	1239	Bacillota	27751	11	12.12
C	91061	Bacilli	17251	19	7.53
O	186826	Lactobacillales	15582	4	6.81
F	1300	Streptococcaceae	5443	0	2.38
G	1301	Streptococcus	5266	2	2.30
S	1501662	Streptococcus parasuis	4580	4580	2.00
S	1305	Streptococcus sanguinis	416	44	0.18
S1	388919	Streptococcus sanguinis SK36	372	372	0.16
S	2781599	Streptococcus oriscaviae	147	147	0.06
S	1917441	Streptococcus ruminantium	113	113	0.05
S	1156431	Streptococcus ilei	4	4	0.00
S	2382163	Streptococcus koreensis	2	2	0.00
S	1318	Streptococcus parasanguinis	1	0	0.00
S1	1114965	Streptococcus parasanguinis FW213	1	1	0.00
S	1234680	Streptococcus rubneri	1	1	0.00
G	1357	Lactococcus	177	5	0.08
S	1363	Lactococcus garvieae	121	121	0.05
S	1358	Lactococcus lactis	46	24	0.02
S1	1360	Lactococcus lactis subsp. lactis	22	22	0.01
S	1359	Lactococcus cremoris	4	0	0.00
S1	2816960	Lactococcus cremoris subsp. cremoris	4	0	0.00
S2	1449093	Lactococcus cremoris subsp. cremoris IBB477	4	4	0.00
S	1366	Lactococcus raffinolactis	1	1	0.00
F	186828	Carnobacteriaceae	5018	0	2.19
G	1470540	Jeotgalibaca	3822	0	1.67
S	1868793	Jeotgalibaca porci	3821	3821	1.67
S	2496265	Jeotgalibaca ciconiae	1	1	0.00
G	2747	Carnobacterium	1184	0	0.52
S	174587	Carnobacterium viridans	1171	1171	0.51
S	147709	Carnobacterium inhibens	13	0	0.01
S1	1266845	Carnobacterium inhibens subsp. gilichinskyi	13	13	0.01
G	29393	Dolosigranulum	12	0	0.01
S	29394	Dolosigranulum pigrum	12	12	0.01
F	33958	Lactobacillaceae	4992	0	2.18
G	2767887	Ligilactobacillus	4299	0	1.88
S	1622	Ligilactobacillus murinus	3562	3445	1.56
S1	1235801	Ligilactobacillus murinus ASF361	117	117	0.05
S	1623	Ligilactobacillus ruminis	513	67	0.22
S1	1069534	Ligilactobacillus ruminis ATCC 27782	446	446	0.19
S	1624	Ligilactobacillus salivarius	224	221	0.10
S1	1194971	Ligilactobacillus salivarius str. Ren	2	2	0.00
S1	362948	Ligilactobacillus salivarius UCC118	1	1	0.00
G	2742598	Limosilactobacillus	586	0	0.26
S	97478	Limosilactobacillus mucosae	586	255	0.26
S1	1130798	Limosilactobacillus mucosae LM1	331	331	0.14
G	1578	Lactobacillus	54	0	0.02
S	147802	Lactobacillus iners	22	22	0.01
S	33959	Lactobacillus johnsonii	18	14	0.01
S1	257314	Lactobacillus johnsonii NCC 533	4	4	0.00
S	1596	Lactobacillus gasseri	12	9	0.01
S1	1380360	Lactobacillus gasseri DSM 14869	3	3	0.00
G1	2620435	unclassified Lactobacillus	1	0	0.00
S	2099788	Lactobacillus sp. CBA3605	1	1	0.00
S	1604	Lactobacillus amylovorus	1	0	0.00
S1	695560	Lactobacillus amylovorus GRL 1112	1	1	0.00
G	2767842	Lactiplantibacillus	44	0	0.02
S	1589	Lactiplantibacillus pentosus	44	42	0.02
S1	1136177	Lactiplantibacillus pentosus KCA1	2	2	0.00
G	1253	Pediococcus	4	0	0.00
G1	1670797	Pediococcus acidilactici group	4	0	0.00
S	1254	Pediococcus acidilactici	4	4	0.00
G	2767882	Furfurilactobacillus	3	0	0.00
S	231049	Furfurilactobacillus rossiae	3	3	0.00
G	46255	Weissella	1	0	0.00
S	1249	Weissella paramesenteroides	1	1	0.00
G	2767878	Bombilactobacillus	1	0	0.00
S	2923362	Bombilactobacillus folatiphilus	1	1	0.00
F	81852	Enterococcaceae	122	1	0.05
G	1350	Enterococcus	118	6	0.05
S	1352	Enterococcus faecium	45	45	0.02
G1	2608891	unclassified Enterococcus	33	0	0.01
S	2230877	Enterococcus sp. DIV2402	26	26	0.01
S	1834167	Enterococcus sp. 12C11_DIV0727	2	2	0.00
S	1834192	Enterococcus sp. 9D6_DIV0238	2	2	0.00
S	2230879	Enterococcus sp. DIV0849a	2	2	0.00
S	2060307	Enterococcus sp. FDAARGOS_375	1	1	0.00
S	1354	Enterococcus hirae	7	7	0.00
S	41997	Enterococcus saccharolyticus	7	0	0.00
S1	1814218	Enterococcus saccharolyticus subsp. saccharolyticus	7	7	0.00
S	53345	Enterococcus durans	5	5	0.00
S	2005703	Enterococcus wangshanyuanii	3	3	0.00
S	1351	Enterococcus faecalis	3	3	0.00
S	160453	Enterococcus gilvus	2	2	0.00
S	44008	Enterococcus cecorum	2	2	0.00
S	53346	Enterococcus mundtii	2	2	0.00
S	71452	Enterococcus raffinosus	1	1	0.00
S	37734	Enterococcus casseliflavus	1	0	0.00
S1	565655	Enterococcus casseliflavus EC20	1	1	0.00
S	33945	Enterococcus avium	1	1	0.00
G	2737	Vagococcus	2	0	0.00
G1	2648499	unclassified Vagococcus	2	0	0.00
S	3109030	Vagococcus sp. B2T-5	2	2	0.00
G	51668	Tetragenococcus	1	0	0.00
S	51669	Tetragenococcus halophilus	1	1	0.00
F	186827	Aerococcaceae	3	0	0.00
G	2862144	Ruoffia	3	0	0.00
S	87458	Ruoffia tabacinasalis	3	3	0.00
O	1385	Bacillales	1650	0	0.72
F	186820	Listeriaceae	1048	0	0.46
G	2755	Brochothrix	1048	0	0.46
S	2756	Brochothrix thermosphacta	1048	694	0.46
S1	1121126	Brochothrix thermosphacta DSM 20171 = FSL F6-1036	354	354	0.15
F	186817	Bacillaceae	542	1	0.24
G	2837504	Heyndrickxia	506	4	0.22
S	1398	Heyndrickxia coagulans	502	485	0.22
S1	345219	Heyndrickxia coagulans 36D1	9	9	0.00
S1	941639	Heyndrickxia coagulans 2-6	8	8	0.00
G	1386	Bacillus	10	6	0.00
G1	86661	Bacillus cereus group	4	2	0.00
S	1405	Bacillus mycoides	2	2	0.00
G	182709	Oceanobacillus	7	0	0.00
S	1462527	Oceanobacillus jeddahense	7	7	0.00
G	482460	Sediminibacillus	5	0	0.00
S	2729421	Sediminibacillus dalangtanensis	5	5	0.00
G	2005375	Alkalicoccus	5	0	0.00
S	1667239	Alkalicoccus halolimnae	5	5	0.00
G	400634	Lysinibacillus	3	0	0.00
G1	2636778	unclassified Lysinibacillus	3	0	0.00
S	2792479	Lysinibacillus sp. JNUCC-51	2	2	0.00
S	2921497	Lysinibacillus sp. FSL K6-3209	1	1	0.00
G	150247	Anoxybacillus	1	1	0.00
G	3033930	Fervidibacillus	1	0	0.00
S	2980027	Fervidibacillus halotolerans	1	1	0.00
G	84406	Virgibacillus	1	1	0.00
G	2893057	Shouchella	1	0	0.00
S	2598861	Shouchella miscanthi	1	1	0.00
G	1494427	Tepidibacillus	1	0	0.00
G1	2619009	unclassified Tepidibacillus	1	0	0.00
S	3131995	Tepidibacillus sp. LSZ-M11000	1	1	0.00
F	186822	Paenibacillaceae	43	0	0.02
G	44249	Paenibacillus	43	7	0.02
G1	185978	unclassified Paenibacillus	35	1	0.02
S	324057	Paenibacillus sp. JDR-2	21	21	0.01
S	3073092	Paenibacillus sp. D2_2	7	7	0.00
S	715179	Paenibacillus sp. sptzw28	3	3	0.00
S	2921399	Paenibacillus sp. FSL H8-0537	1	1	0.00
S	2996034	Paenibacillus sp. SYP-B4298	1	1	0.00
S	3049075	Paenibacillus sp. PK1-4R	1	1	0.00
S	2909671	Paenibacillus spongiae	1	1	0.00
F	90964	Staphylococcaceae	12	0	0.01
G	1279	Staphylococcus	10	0	0.00
S	1280	Staphylococcus aureus	4	4	0.00
G1	91994	unclassified Staphylococcus	3	0	0.00
S	2989770	Staphylococcus sp. IVB6238	3	3	0.00
S	61015	Staphylococcus succinus	1	1	0.00
G1	2815305	Staphylococcus intermedius group	1	0	0.00
S	283734	Staphylococcus pseudintermedius	1	1	0.00
S	522262	Staphylococcus rostri	1	1	0.00
G	69965	Macrococcus	1	1	0.00
G	227979	Jeotgalicoccus	1	0	0.00
G1	2630462	unclassified Jeotgalicoccus	1	0	0.00
S	2708346	Jeotgalicoccus sp. WY2	1	1	0.00
F	186821	Sporolactobacillaceae	5	0	0.00
G	475230	Pullulanibacillus	5	0	0.00
G1	2640606	unclassified Pullulanibacillus	5	0	0.00
S	3028315	Pullulanibacillus sp. KACC 23026	5	5	0.00
C	186801	Clostridia	10186	6	4.45
O	186802	Eubacteriales	5664	0	2.47
F	3082771	Acutalibacteraceae	2634	0	1.15
G	2576755	Caproicibacter	2634	0	1.15
S	2576756	Caproicibacter fermentans	2634	2634	1.15
F	216572	Oscillospiraceae	2563	82	1.12
G	2892396	Vescimonas	587	5	0.26
S	2714353	Vescimonas fastidiosa	423	423	0.18
S	2714355	Vescimonas coprocola	159	159	0.07
G	2892397	Pusillibacter	579	0	0.25
S	2714358	Pusillibacter faecalis	579	579	0.25
G	459786	Oscillibacter	540	1	0.24
S	2763056	Oscillibacter hominis	486	486	0.21
G1	2629304	unclassified Oscillibacter	53	0	0.02
S	2109687	Oscillibacter sp. PEA192	53	53	0.02
G	1263	Ruminococcus	369	0	0.16
S	1160721	Ruminococcus bicirculans (ex Wegman et al. 2014)	339	339	0.15
S	1264	Ruminococcus albus	29	0	0.01
S1	697329	Ruminococcus albus 7 = DSM 20455	29	29	0.01
G1	2608920	unclassified Ruminococcus	1	0	0.00
S	657323	Ruminococcus sp. SR1/5	1	1	0.00
G	216851	Faecalibacterium	183	16	0.08
S	853	Faecalibacterium prausnitzii	135	76	0.06
S1	657322	Faecalibacterium prausnitzii SL3/3	30	30	0.01
S1	718252	Faecalibacterium prausnitzii L2-6	29	29	0.01
G1	2646395	unclassified Faecalibacterium	32	1	0.01
S	2929495	Faecalibacterium sp. I4-3-84	9	9	0.00
S	2929492	Faecalibacterium sp. I3-3-33	7	7	0.00
S	2929494	Faecalibacterium sp. I4-1-79	6	6	0.00
S	2929488	Faecalibacterium sp. IP-1-18	5	5	0.00
S	2929493	Faecalibacterium sp. I3-3-89	3	3	0.00
S	2929491	Faecalibacterium sp. HTF-F	1	1	0.00
G	2172004	Lawsonibacter	128	0	0.06
S	2108523	Lawsonibacter asaccharolyticus	128	128	0.06
G	946234	Flavonifractor	42	0	0.02
S	292800	Flavonifractor plautii	42	42	0.02
G	2842531	Solibaculum	42	0	0.02
S	2780922	Solibaculum mannosilyticum	42	42	0.02
G	2591381	Dysosmobacter	6	0	0.00
S	2093857	Dysosmobacter welbionis	6	6	0.00
G	292632	Subdoligranulum	3	1	0.00
S	214851	Subdoligranulum variabile	2	2	0.00
G	253238	Ethanoligenens	1	0	0.00
S	253239	Ethanoligenens harbinense	1	1	0.00
G	1905344	Ruthenibacterium	1	0	0.00
S	1550024	Ruthenibacterium lactatiformans	1	1	0.00
F	31979	Clostridiaceae	309	0	0.13
G	1485	Clostridium	304	0	0.13
S	1534	Clostridium kluyveri	159	159	0.07
S	2320868	Clostridium manihotivorum	124	124	0.05
S	1520	Clostridium beijerinckii	18	17	0.01
S1	1428454	Clostridium beijerinckii NRRL B-598	1	1	0.00
G1	2614128	unclassified Clostridium	1	0	0.00
S	3070681	Clostridium sp. OS1-26	1	1	0.00
S	29341	Clostridium argentinense	1	1	0.00
S	84032	Clostridium thermosuccinogenes	1	1	0.00
G	1649459	Hungatella	5	0	0.00
S	154046	Hungatella hathewayi	5	5	0.00
O1	538999	Eubacteriales incertae sedis	140	0	0.06
G	1392389	Intestinimonas	115	0	0.05
S	1297617	Intestinimonas butyriciproducens	115	115	0.05
F	539000	Clostridiales Family XVII. Incertae Sedis	17	0	0.01
G	73918	Thermaerobacter	17	0	0.01
S	73919	Thermaerobacter marianensis	17	0	0.01
S1	644966	Thermaerobacter marianensis DSM 12885	17	17	0.01
G	1918454	Flintibacter	8	0	0.00
G1	2610894	unclassified Flintibacter	8	0	0.00
S	2610895	Flintibacter sp. KGMB00164	8	8	0.00
F	186806	Eubacteriaceae	9	0	0.00
G	33951	Acetobacterium	8	0	0.00
S	52694	Acetobacterium wieringae	8	8	0.00
G	1730	Eubacterium	1	0	0.00
S	2041044	Eubacterium maltosivorans	1	1	0.00
F	2937909	Desulfitobacteriaceae	5	0	0.00
G	56112	Dehalobacter	5	0	0.00
S	55583	Dehalobacter restrictus	5	1	0.00
S1	871738	Dehalobacter restrictus DSM 9455	4	4	0.00
F	186807	Peptococcaceae	4	0	0.00
G	51514	Dehalobacterium	4	0	0.00
S	51515	Dehalobacterium formicoaceticum	4	4	0.00
O	3085636	Lachnospirales	4218	0	1.84
F	186803	Lachnospiraceae	4217	8	1.84
G	830	Butyrivibrio	1910	0	0.83
S	45851	Butyrivibrio crossotus	1910	1910	0.83
G	572511	Blautia	1744	10	0.76
S	1912897	Blautia argi	1407	1407	0.61
S	418240	Blautia wexlerae	160	0	0.07
S1	1121115	Blautia wexlerae DSM 19850	160	160	0.07
S	2779518	Blautia liquoris	144	144	0.06
S	89014	Blautia luti	22	22	0.01
S	40520	Blautia obeum	1	0	0.00
S1	657314	Blautia obeum A2-162	1	1	0.00
G	2944193	Simiaoa	288	0	0.13
S	2763672	Simiaoa sunii	288	288	0.13
G	1506553	Lachnoclostridium	102	0	0.04
S	1871021	Lachnoclostridium phocaeense	102	102	0.04
G	1843210	Anaerocolumna	66	0	0.03
S	433286	Anaerocolumna cellulosilytica	66	66	0.03
G	2719231	Lacrimispora	36	1	0.02
S	29375	Lacrimispora xylanolytica	13	13	0.01
S	29370	Lacrimispora sphenoides	12	0	0.01
S1	1297793	Lacrimispora sphenoides JCM 1415	12	12	0.01
S	84030	Lacrimispora saccharolytica	10	10	0.00
G	2944152	Wujia	21	0	0.01
S	2763670	Wujia chipingensis	21	21	0.01
G	33042	Coprococcus	10	0	0.00
S	410072	Coprococcus comes	10	10	0.00
G	189330	Dorea	10	0	0.00
S	88431	Dorea longicatena	10	10	0.00
G	2944195	Qiania	6	0	0.00
S	2763669	Qiania dongpingensis	6	6	0.00
G	248744	Marvinbryantia	4	0	0.00
S	168384	Marvinbryantia formatexigens	4	0	0.00
S1	478749	Marvinbryantia formatexigens DSM 14469	4	4	0.00
G	2719313	Enterocloster	3	0	0.00
S	1531	Enterocloster clostridioformis	2	2	0.00
S	208479	Enterocloster bolteae	1	1	0.00
G	2316020	Mediterraneibacter	3	0	0.00
S	46228	[Ruminococcus] lactaris	2	0	0.00
S1	471875	[Ruminococcus] lactaris ATCC 29176	2	2	0.00
S	33038	Mediterraneibacter gnavus	1	1	0.00
G	3076670	Claveliimonas	2	0	0.00
S	3028070	Claveliimonas bilis	2	2	0.00
G	2569097	Anaerobutyricum	2	0	0.00
S	39488	Anaerobutyricum hallii	2	2	0.00
G	841	Roseburia	1	0	0.00
G1	2637578	unclassified Roseburia	1	0	0.00
S	1261634	Roseburia sp. 499	1	1	0.00
G	1766253	Agathobacter	1	0	0.00
S	39491	Agathobacter rectalis	1	1	0.00
F	2603322	Vallitaleaceae	1	0	0.00
G	2603323	Petrocella	1	0	0.00
S	2173034	Petrocella atlantisensis	1	1	0.00
O	3082720	Peptostreptococcales	298	0	0.13
F	186804	Peptostreptococcaceae	297	0	0.13
G	1505657	Intestinibacter	295	0	0.13
S	261299	Intestinibacter bartlettii	295	295	0.13
G	1870884	Clostridioides	2	0	0.00
S	1496	Clostridioides difficile	2	2	0.00
F	3030910	Anaerovoracaceae	1	0	0.00
G	2060094	Aminipila	1	0	0.00
S	433296	Aminipila butyrica	1	1	0.00
C	909932	Negativicutes	270	0	0.12
O	909929	Selenomonadales	199	0	0.09
F	1843491	Selenomonadaceae	199	0	0.09
G	970	Selenomonas	199	0	0.09
S	971	Selenomonas ruminantium	187	0	0.08
S1	114197	Selenomonas ruminantium subsp. lactilytica	187	0	0.08
S2	927704	Selenomonas ruminantium subsp. lactilytica TAM6421	187	187	0.08
S	2754044	Selenomonas timonae	12	12	0.01
O	1843489	Veillonellales	62	0	0.03
F	31977	Veillonellaceae	62	0	0.03
G	39948	Dialister	35	1	0.02
S	2161821	Dialister massiliensis	34	34	0.01
G	29465	Veillonella	26	0	0.01
G1	2630086	unclassified Veillonella	8	0	0.00
S	2682455	Veillonella sp. S12025-13	8	8	0.00
S	2682456	Veillonella nakazawae	7	7	0.00
S	423477	Veillonella rogosae	6	6	0.00
S	39778	Veillonella dispar	4	4	0.00
S	39777	Veillonella atypica	1	1	0.00
G	906	Megasphaera	1	0	0.00
S	1675036	Megasphaera hexanoica	1	1	0.00
O	1843488	Acidaminococcales	9	0	0.00
F	909930	Acidaminococcaceae	9	0	0.00
G	33024	Phascolarctobacterium	9	0	0.00
S	33025	Phascolarctobacterium faecium	9	9	0.00
C	1737404	Tissierellia	25	0	0.01
O	1737405	Tissierellales	25	0	0.01
F	1737406	Tissierellaceae	25	0	0.01
G	2692382	Gudongella	25	0	0.01
S	1582259	Gudongella oleilytica	25	25	0.01
C	526524	Erysipelotrichia	8	0	0.00
O	526525	Erysipelotrichales	8	1	0.00
F	2810280	Coprobacillaceae	5	0	0.00
G	3025755	Thomasclavelia	4	0	0.00
S	1547	Thomasclavelia ramosa	4	4	0.00
G	2678885	Faecalibacillus	1	0	0.00
S	1982626	Faecalibacillus intestinalis	1	1	0.00
F	128827	Erysipelotrichaceae	1	0	0.00
G	2749267	Amedibacterium	1	0	0.00
S	2583452	Amedibacterium intestinale	1	1	0.00
F	2810281	Turicibacteraceae	1	0	0.00
G	191303	Turicibacter	1	0	0.00
G1	2638206	unclassified Turicibacter	1	0	0.00
S	2806443	Turicibacter sp. TJ11	1	1	0.00
P	1297	Deinococcota	780	0	0.34
C	188787	Deinococci	780	0	0.34
O	118964	Deinococcales	587	0	0.26
F	183710	Deinococcaceae	587	0	0.26
G	1298	Deinococcus	587	0	0.26
S	502394	Deinococcus gobiensis	525	0	0.23
S1	745776	Deinococcus gobiensis I-0	525	525	0.23
S	317577	Deinococcus ficus	61	61	0.03
S	1889240	Deinococcus rubellus	1	1	0.00
O	2762275	Trueperales	193	0	0.08
F	332247	Trueperaceae	193	0	0.08
G	332248	Truepera	193	0	0.08
S	332249	Truepera radiovictrix	193	139	0.08
S1	649638	Truepera radiovictrix DSM 17093	54	54	0.02
P	200795	Chloroflexota	606	0	0.26
C	292625	Anaerolineae	591	0	0.26
O	292629	Anaerolineales	591	0	0.26
F	292628	Anaerolineaceae	591	0	0.26
G	2019482	Brevefilum	591	0	0.26
S	1986204	Brevefilum fermentans	591	591	0.26
C	301297	Dehalococcoidia	15	0	0.01
O	1202465	Dehalococcoidales	15	0	0.01
F	1202464	Dehalococcoidaceae	15	0	0.01
G	61434	Dehalococcoides	15	0	0.01
S	61435	Dehalococcoides mccartyi	15	15	0.01
D2	1798711	Cyanobacteriota/Melainabacteria group	20	0	0.01
P	1117	Cyanobacteriota	20	0	0.01
C	3028117	Cyanophyceae	20	0	0.01
C1	1301283	Oscillatoriophycideae	16	0	0.01
O	1118	Chroococcales	16	0	0.01
F	1890449	Microcystaceae	16	0	0.01
G	1125	Microcystis	16	0	0.01
G1	2643300	unclassified Microcystis	14	0	0.01
S	1967666	Microcystis sp. MC19	14	14	0.01
S	1126	Microcystis aeruginosa	2	0	0.00
S1	1641812	Microcystis aeruginosa NIES-2549	1	1	0.00
S1	2945101	Microcystis aeruginosa str. Chao 1910	1	1	0.00
O	1890424	Synechococcales	3	0	0.00
F	1890426	Synechococcaceae	3	0	0.00
G	1129	Synechococcus	3	0	0.00
S	32046	Synechococcus elongatus	3	3	0.00
O	1161	Nostocales	1	0	0.00
F	1162	Nostocaceae	1	0	0.00
G	1177	Nostoc	1	0	0.00
G1	2593658	unclassified Nostoc	1	0	0.00
S	103690	Nostoc sp. PCC 7120 = FACHB-418	1	1	0.00
D1	1783270	FCB group	13079	0	5.71
D2	68336	Bacteroidota/Chlorobiota group	12951	1	5.66
P	976	Bacteroidota	10679	7	4.66
C	117743	Flavobacteriia	7302	0	3.19
O	200644	Flavobacteriales	7302	11	3.19
F	2762318	Weeksellaceae	5216	19	2.28
F1	2782232	Chryseobacterium group	3520	1	1.54
G	59732	Chryseobacterium	2855	25	1.25
S	2929799	Chryseobacterium oryzae	1222	1222	0.53
S	1493872	Chryseobacterium shandongense	685	685	0.30
S	2754694	Chryseobacterium manosquense	338	338	0.15
S	2929800	Chryseobacterium suipulveris	249	249	0.11
G1	2593645	unclassified Chryseobacterium	92	9	0.04
S	2997336	Chryseobacterium sp. CY350	15	15	0.01
S	2838877	Chryseobacterium sp. ZHDP1	12	12	0.01
S	2920939	Chryseobacterium sp. Y16C	7	7	0.00
S	2966625	Chryseobacterium sp. MA9	7	7	0.00
S	2778077	Chryseobacterium sp. FDAARGOS 1104	7	7	0.00
S	2039166	Chryseobacterium sp. 6424	6	6	0.00
S	2478663	Chryseobacterium sp. 3008163	5	5	0.00
S	2015076	Chryseobacterium sp. T16E-39	4	4	0.00
S	2745153	Chryseobacterium sp. MYb264	4	4	0.00
S	2893882	Chryseobacterium sp. C-71	3	3	0.00
S	1871047	Chryseobacterium sp.	3	3	0.00
S	2487065	Chryseobacterium sp. G0201	3	3	0.00
S	3093923	Chryseobacterium sp. JJR-5R	2	2	0.00
S	878220	Chryseobacterium sp. StRB126	2	2	0.00
S	2864040	Chryseobacterium sp. LJ668	1	1	0.00
S	2487064	Chryseobacterium sp. G0186	1	1	0.00
S	3042315	Chryseobacterium sp. wdc7	1	1	0.00
S	246	Chryseobacterium balustinum	37	37	0.02
S	2497456	Chryseobacterium aureum	32	32	0.01
S	254	Chryseobacterium indoltheticum	31	31	0.01
S	1265445	Chryseobacterium camelliae	28	28	0.01
S	2547600	Chryseobacterium salivictor	24	24	0.01
S	373672	Chryseobacterium gambrini	23	23	0.01
S	1124835	Chryseobacterium carnipullorum	16	16	0.01
S	253	Chryseobacterium indologenes	13	13	0.01
S	1609531	Chryseobacterium rhizoplanae	8	8	0.00
S	421058	Chryseobacterium oranimense	7	7	0.00
S	651561	Chryseobacterium arthrosphaerae	7	7	0.00
S	59733	Chryseobacterium scophthalmum	6	6	0.00
S	2983606	Chryseobacterium fluminis	5	5	0.00
S	1141221	Chryseobacterium taihuense	2	2	0.00
S	536441	Chryseobacterium taklimakanense	2	2	0.00
S	1324352	Chryseobacterium gallinarum	1	1	0.00
S	192389	Chryseobacterium daecheongense	1	1	0.00
S	2956784	Chryseobacterium paludis	1	1	0.00
G	2782231	Kaistella	663	0	0.29
S	2487074	Kaistella daneshvariae	594	594	0.26
S	2852098	Kaistella faecalis	61	61	0.03
G1	2762626	unclassified Kaistella	5	0	0.00
S	2908645	Kaistella sp. 97-N-M2	5	5	0.00
S	266749	Kaistella jeonii	3	3	0.00
G	2782229	Epilithonimonas	1	0	0.00
S	1416779	Epilithonimonas zeae	1	1	0.00
G	501783	Cloacibacterium	1631	0	0.71
S	2004710	Cloacibacterium caeni	1631	1631	0.71
G	308865	Elizabethkingia	30	1	0.01
S	1756149	Elizabethkingia bruuniana	21	21	0.01
S	172045	Elizabethkingia miricola	3	3	0.00
G1	2685307	unclassified Elizabethkingia	3	0	0.00
S	2796140	Elizabethkingia sp. M8	3	3	0.00
